id,month,day,dep_delay,sched_arr_hour,sched_arr_minute,sched_dep_hour,sched_dep_minute,temp,dewp,humid,wind_dir,wind_speed,precip,visib,arr_status
1,12,Sun,-7,6,51,5,0,35.06,28.04,75.31,10,4.60312,0,10,Not Delay
2,12,Sun,-7,8,11,6,1,33.8,26.6,78.45,40,5.7539,0,10,Not Delay
3,12,Sun,6,8,17,6,15,33.8,26.6,78.45,40,5.7539,0,10,Not Delay
4,12,Sun,-4,8,35,6,30,33.8,26.6,78.45,40,5.7539,0,10,Not Delay
5,12,Sun,-3,10,21,8,20,39.02,30.92,72.46,30,3.45234,0,10,Not Delay
6,12,Sun,-7,12,18,10,23,44.96,32,60.2,0,0,0,10,Not Delay
7,12,Sun,-8,15,6,13,15,48.02,28.94,47.36,210,3.45234,0,10,Not Delay
8,12,Sun,49,14,30,12,29,48.02,30.02,49.5,230,4.60312,0,10,Delay
9,12,Sun,-6,16,56,15,0,48.02,30.92,51.34,210,5.7539,0,10,Not Delay
10,12,Sun,-7,17,21,15,20,48.02,30.92,51.34,210,5.7539,0,10,Not Delay
11,12,Sun,-8,19,28,17,30,46.94,30.02,51.55,230,5.7539,0,10,Not Delay
12,12,Sun,-5,20,33,18,29,48.02,28.94,47.36,250,6.90468,0,10,Not Delay
13,12,Sun,33,21,15,19,15,46.94,30.02,51.55,250,4.60312,0,10,Delay
14,12,Sun,-12,23,20,21,20,44.06,28.94,55.02,260,5.7539,0,10,Not Delay
15,12,Sun,52,23,13,21,21,44.06,28.94,55.02,260,5.7539,0,10,Delay
16,12,Mon,-8,6,51,5,0,39.92,28.94,64.54,0,0,0,10,Not Delay
17,12,Mon,-6,8,18,6,15,42.08,28.94,59.36,0,0,0,10,Not Delay
18,12,Mon,-7,8,35,6,30,42.08,28.94,59.36,0,0,0,10,Not Delay
19,12,Mon,-5,10,21,8,20,42.98,30.02,59.93,60,4.60312,0,8,Not Delay
20,12,Mon,160,8,11,6,1,42.08,28.94,59.36,0,0,0,10,Delay
21,12,Mon,-6,12,18,10,23,46.04,33.98,62.56,0,0,0,8,Not Delay
22,12,Mon,3,14,25,12,24,48.92,33.98,56.14,0,0,0,8,Not Delay
23,12,Mon,-6,15,6,13,15,51.08,33.08,49.97,0,0,0,8,Not Delay
24,12,Mon,104,16,54,14,59,50,33.98,53.92,0,0,0,6,Delay
25,12,Mon,91,17,21,15,20,50,32,49.81,0,0,0,6,Delay
26,12,Mon,-3,19,28,17,30,42.98,33.98,70.3,40,5.7539,0,7,Not Delay
27,12,Mon,-9,20,33,18,29,44.06,37.04,76.16,20,6.90468,0,7,Not Delay
28,12,Mon,-3,21,15,19,15,44.06,35.96,72.98,50,4.60312,0,7,Not Delay
29,12,Mon,-2,23,3,21,11,42.08,37.04,82.17,50,3.45234,0,7,Not Delay
30,12,Tue,-3,6,51,5,0,35.96,33.98,92.43,20,4.60312,0,7,Not Delay
31,12,Tue,0,8,11,6,1,37.94,35.06,89.25,350,6.90468,0,7,Not Delay
32,12,Tue,-3,8,18,6,15,37.94,35.06,89.25,350,6.90468,0,7,Not Delay
33,12,Tue,-7,8,35,6,30,37.94,35.06,89.25,350,6.90468,0,7,Not Delay
34,12,Tue,1,10,21,8,20,42.98,35.96,76.06,10,3.45234,0,8,Not Delay
35,12,Tue,-3,12,22,10,25,48.92,35.96,60.74,0,0,0,8,Not Delay
36,12,Tue,-9,14,25,12,24,53.96,33.98,46.6,260,5.7539,0,9,Not Delay
37,12,Tue,-7,15,6,13,15,53.96,33.98,46.6,250,5.7539,0,9,Not Delay
38,12,Tue,-2,16,54,14,59,53.96,33.98,46.6,260,5.7539,0,9,Not Delay
39,12,Tue,3,17,21,15,20,53.96,33.98,46.6,240,6.90468,0,9,Not Delay
40,12,Tue,3,19,23,17,25,51.08,32,47.85,270,5.7539,0,9,Not Delay
41,12,Tue,-6,21,15,19,15,48.02,32,53.63,0,0,0,8,Not Delay
42,12,Wed,-3,6,51,5,0,39.02,33.98,81.95,30,4.60312,0,6,Not Delay
43,12,Wed,-1,8,20,6,10,37.04,33.08,85.43,20,6.90468,0,7,Delay
44,12,Wed,-3,8,35,6,30,37.04,33.08,85.43,20,6.90468,0,7,Delay
45,12,Wed,16,8,18,6,15,37.04,33.08,85.43,20,6.90468,0,7,Delay
46,12,Wed,-5,10,21,8,20,41,35.96,82.09,20,4.60312,0,5,Not Delay
47,12,Wed,-5,11,49,9,37,46.04,35.96,67.69,0,0,0,6,Not Delay
48,12,Wed,10,12,22,10,25,48.92,37.04,63.39,0,0,0,6,Delay
49,12,Wed,1,15,6,13,15,50,39.92,68.15,70,4.60312,0,4,Not Delay
50,12,Wed,-4,16,54,14,59,50,41,71.07,150,4.60312,0,5,Not Delay
51,12,Wed,6,16,58,14,57,50,41,71.07,150,4.60312,0,5,Delay
52,12,Wed,-6,19,28,17,30,50,42.08,74.1,0,0,0,7,Not Delay
53,12,Wed,19,20,33,18,29,50,42.08,74.1,120,3.45234,0,9,Delay
54,12,Wed,82,21,6,19,5,50,42.98,76.71,0,0,0,9,Delay
55,12,Wed,78,23,3,21,11,50,44.06,79.94,60,3.45234,0,7,Delay
56,12,Thu,-3,6,51,5,0,48.2,48.02,100,330,4.60312,0.01,1.5,Not Delay
57,12,Thu,-7,8,20,6,10,48.92,48.02,96.69,0,0,0,1.5,Not Delay
58,12,Thu,-7,8,18,6,15,48.92,48.02,96.69,0,0,0,1.5,Not Delay
59,12,Thu,-5,8,35,6,30,48.92,48.02,96.69,0,0,0,1.5,Not Delay
60,12,Thu,0,10,21,8,20,50,50,100,60,3.45234,0,0.25,Delay
61,12,Thu,14,15,6,13,15,57.92,53.6,87.74,0,0,0,6,Delay
62,12,Thu,190,12,22,10,25,53.6,51.98,100,0,0,0,0.5,Delay
63,12,Thu,10,17,0,14,59,57.92,53.06,83.82,0,0,0,5,Not Delay
64,12,Thu,405,11,54,9,42,51.8,51.8,100,30,3.45234,0,0.25,Delay
65,12,Thu,101,19,28,17,30,59,55.04,86.69,250,8.05546,0,6,Delay
66,12,Thu,96,20,33,18,29,57.92,55.04,90.11,0,0,0,6,Delay
67,12,Thu,110,23,3,21,11,57.2,55.4,100,150,5.7539,0,1.5,Delay
68,12,Fri,-4,6,51,5,0,62.06,60.98,96.25,220,8.05546,0,2.5,Not Delay
69,12,Fri,-8,8,18,6,15,53.6,51.8,100,330,18.41248,0.03,9,Not Delay
70,12,Fri,5,8,20,6,10,53.6,51.8,100,330,18.41248,0.03,9,Not Delay
71,12,Fri,-8,8,35,6,30,53.6,51.8,100,330,18.41248,0.03,9,Not Delay
72,12,Fri,-3,10,21,8,20,50,46.04,86.19,330,12.65858,0.02,6,Delay
73,12,Fri,-1,11,54,9,42,50,46.4,87.37,350,14.96014,0.02,10,Not Delay
74,12,Fri,-1,12,22,10,25,48.2,44.6,87.28,350,16.11092,0.05,9,Delay
75,12,Fri,-4,15,6,13,15,44.96,42.8,93.35,360,12.65858,0,10,Delay
76,12,Fri,-8,16,54,14,59,44.96,39.92,82.38,350,11.5078,0.02,10,Not Delay
77,12,Fri,15,17,0,14,59,44.96,39.92,82.38,350,11.5078,0.02,10,Delay
78,12,Fri,-5,19,28,17,30,42.98,39.02,85.79,350,12.65858,0.02,6,Not Delay
79,12,Fri,-6,20,33,18,29,42.98,39.2,86.99,350,11.5078,0.02,7,Not Delay
80,12,Fri,147,21,6,19,5,42.8,39.2,93.24,350,10.35702,0.22,4,Delay
81,12,Sat,-8,8,18,6,15,37.4,32,81.8,350,9.20624,0,10,Not Delay
82,12,Sat,-8,8,35,6,30,37.4,32,81.8,350,9.20624,0,10,Not Delay
83,12,Sat,-6,10,21,8,20,37.94,30.92,75.58,310,9.20624,0,10,Not Delay
84,12,Sat,-10,11,49,9,37,39.02,28.94,66.85,340,14.96014,0,10,Not Delay
85,12,Sat,1,12,22,10,25,42.08,30.02,62.04,320,13.80936,0,10,Delay
86,12,Sat,-4,14,25,12,24,41,24.08,50.63,330,17.2617,0,10,Not Delay
