srcGeohash,timeStamp,coverage
7,2017-12-04 00:00:00,Sufficient
7,2017-12-04 01:00:00,Sufficient
7,2017-12-04 02:00:00,Sufficient
7,2017-12-04 03:00:00,Sufficient
7,2017-12-04 04:00:00,Sufficient
7,2017-12-04 05:00:00,Sufficient
7,2017-12-04 06:00:00,Sufficient
7,2017-12-04 07:00:00,Sufficient
7,2017-12-04 08:00:00,Sufficient
7,2017-12-04 09:00:00,Sufficient
7,2017-12-04 10:00:00,Sufficient
7,2017-12-04 11:00:00,Sufficient
7,2017-12-04 12:00:00,Sufficient
7,2017-12-04 13:00:00,Sufficient
7,2017-12-04 14:00:00,Sufficient
7,2017-12-04 15:00:00,Sufficient
7,2017-12-04 16:00:00,Sufficient
7,2017-12-04 17:00:00,Sufficient
7,2017-12-04 18:00:00,Sufficient
7,2017-12-04 19:00:00,Sufficient
7,2017-12-04 20:00:00,Sufficient
7,2017-12-04 21:00:00,Sufficient
7,2017-12-04 22:00:00,Sufficient
7,2017-12-04 23:00:00,Sufficient
7,2017-12-05 00:00:00,Sufficient
7,2017-12-05 01:00:00,Sufficient
7,2017-12-05 02:00:00,Sufficient
7,2017-12-05 03:00:00,Sufficient
7,2017-12-05 04:00:00,Sufficient
7,2017-12-05 05:00:00,Sufficient
7,2017-12-05 06:00:00,Sufficient
7,2017-12-05 07:00:00,Sufficient
7,2017-12-05 08:00:00,Sufficient
7,2017-12-05 09:00:00,Sufficient
7,2017-12-05 10:00:00,Sufficient
7,2017-12-05 11:00:00,Sufficient
7,2017-12-05 12:00:00,Sufficient
7,2017-12-05 13:00:00,Sufficient
7,2017-12-05 14:00:00,Sufficient
7,2017-12-05 15:00:00,Sufficient
7,2017-12-05 16:00:00,Sufficient
7,2017-12-05 17:00:00,Sufficient
7,2017-12-05 18:00:00,Sufficient
7,2017-12-05 19:00:00,Sufficient
7,2017-12-05 20:00:00,Sufficient
7,2017-12-05 21:00:00,Sufficient
7,2017-12-05 22:00:00,Sufficient
7,2017-12-05 23:00:00,Sufficient
7,2017-12-06 00:00:00,Sufficient
7,2017-12-06 01:00:00,Sufficient
7,2017-12-06 02:00:00,Sufficient
7,2017-12-06 03:00:00,Sufficient
7,2017-12-06 04:00:00,Sufficient
7,2017-12-06 05:00:00,Sufficient
7,2017-12-06 06:00:00,Sufficient
7,2017-12-06 07:00:00,Sufficient
7,2017-12-06 08:00:00,Sufficient
7,2017-12-06 09:00:00,Sufficient
7,2017-12-06 10:00:00,Sufficient
7,2017-12-06 11:00:00,Sufficient
7,2017-12-06 12:00:00,Sufficient
7,2017-12-06 13:00:00,Sufficient
7,2017-12-06 14:00:00,Sufficient
7,2017-12-06 15:00:00,Sufficient
7,2017-12-06 16:00:00,Sufficient
7,2017-12-06 17:00:00,Sufficient
7,2017-12-06 18:00:00,Sufficient
7,2017-12-06 19:00:00,Sufficient
7,2017-12-06 20:00:00,Sufficient
7,2017-12-06 21:00:00,Sufficient
7,2017-12-06 22:00:00,Sufficient
7,2017-12-06 23:00:00,Sufficient
7,2017-12-07 00:00:00,Sufficient
7,2017-12-07 01:00:00,Sufficient
7,2017-12-07 02:00:00,Sufficient
7,2017-12-07 03:00:00,Sufficient
