datetime,outlet,visitor
2018-02-22 00:00:00,A,15
2018-02-22 00:00:00,B,0
2018-02-22 00:00:00,C,0
2018-02-22 00:00:00,D,0
2018-02-22 00:00:00,E,161
2018-02-22 01:00:00,A,1
2018-02-22 01:00:00,B,0
2018-02-22 01:00:00,C,0
2018-02-22 01:00:00,D,0
2018-02-22 01:00:00,E,77
2018-02-22 02:00:00,A,0
2018-02-22 02:00:00,B,0
2018-02-22 02:00:00,C,0
2018-02-22 02:00:00,D,0
2018-02-22 02:00:00,E,21
2018-02-22 03:00:00,A,0
2018-02-22 03:00:00,B,0
2018-02-22 03:00:00,C,0
2018-02-22 03:00:00,D,0
2018-02-22 03:00:00,E,4
2018-02-22 04:00:00,A,0
2018-02-22 04:00:00,B,0
2018-02-22 04:00:00,C,0
2018-02-22 04:00:00,D,0
2018-02-22 04:00:00,E,5
2018-02-22 05:00:00,A,0
2018-02-22 05:00:00,B,0
2018-02-22 05:00:00,C,0
2018-02-22 05:00:00,D,0
2018-02-22 05:00:00,E,2
2018-02-22 06:00:00,A,0
2018-02-22 06:00:00,B,0
2018-02-22 06:00:00,C,0
2018-02-22 06:00:00,D,0
2018-02-22 06:00:00,E,5
2018-02-22 07:00:00,A,1
2018-02-22 07:00:00,B,0
2018-02-22 07:00:00,C,0
2018-02-22 07:00:00,D,0
2018-02-22 07:00:00,E,59
2018-02-22 08:00:00,A,6
2018-02-22 08:00:00,B,0
2018-02-22 08:00:00,C,1
2018-02-22 08:00:00,D,0
2018-02-22 08:00:00,E,85
2018-02-22 09:00:00,A,29
2018-02-22 09:00:00,B,0
2018-02-22 09:00:00,C,8
2018-02-22 09:00:00,D,6
2018-02-22 09:00:00,E,137
2018-02-22 10:00:00,A,104
2018-02-22 10:00:00,B,4
2018-02-22 10:00:00,C,29
2018-02-22 10:00:00,D,7
2018-02-22 10:00:00,E,280
2018-02-22 11:00:00,A,213
2018-02-22 11:00:00,B,12
2018-02-22 11:00:00,C,48
2018-02-22 11:00:00,D,18
2018-02-22 11:00:00,E,529
2018-02-22 12:00:00,A,288
2018-02-22 12:00:00,B,21
2018-02-22 12:00:00,C,79
2018-02-22 12:00:00,D,34
2018-02-22 12:00:00,E,853
2018-02-22 13:00:00,A,249
2018-02-22 13:00:00,B,24
2018-02-22 13:00:00,C,49
2018-02-22 13:00:00,D,31
2018-02-22 13:00:00,E,789
2018-02-22 14:00:00,A,264
